college_id,branch,district,year,applications,sanctioned_seats,filled_seats,vacant_seats,cutoff_percentile,placement_rate,graduation_rate,filled_seats_next_year
COL0001,BCom,Dharashiv,2021,597,340,239,101,49.15,62.7,80.7,220
COL0001,BCom,Dharashiv,2022,611,330,220,110,53.13,61.9,69.8,246
COL0001,BCom,Dharashiv,2023,649,320,246,74,50.51,67.1,81.4,242
COL0001,BCom,Dharashiv,2024,638,330,242,88,50.22,64.9,82.3,316
COL0002,BSc Mathematics,Yavatmal,2021,662,200,177,23,72.13,91.5,100.0,169
COL0002,BSc Mathematics,Yavatmal,2022,686,200,169,31,69.41,87.9,100.0,187
COL0002,BSc Mathematics,Yavatmal,2023,728,220,187,33,73.77,96.7,100.0,190
COL0002,BSc Mathematics,Yavatmal,2024,797,220,190,30,70.27,94.2,100.0,211
COL0003,B.Ed,Mumbai City,2021,133,40,35,5,77.09,86.7,100.0,36
COL0003,B.Ed,Mumbai City,2022,143,40,36,4,79.14,88.6,99.9,36
COL0003,B.Ed,Mumbai City,2023,137,40,36,4,79.86,91.7,100.0,34
COL0003,B.Ed,Mumbai City,2024,136,40,34,6,81.53,88.5,100.0,34
COL0004,B.Ed,Nanded,2021,48,40,26,14,54.37,56.1,65.4,28
COL0004,B.Ed,Nanded,2022,58,40,28,12,53.75,59.1,68.0,26
COL0004,B.Ed,Nanded,2023,54,40,26,14,53.05,54.9,70.9,28
COL0004,B.Ed,Nanded,2024,57,40,28,12,53.7,56.7,66.4,34
COL0005,BSc,Solapur,2021,1239,550,417,133,54.87,76.0,86.7,410
COL0005,BSc,Solapur,2022,1200,580,410,170,54.01,72.8,92.5,462
COL0005,BSc,Solapur,2023,1409,580,462,118,55.26,72.7,88.5,525
COL0005,BSc,Solapur,2024,1522,640,525,115,53.71,76.7,91.3,438
COL0006,BCom,Dharashiv,2021,124,150,89,61,37.13,63.1,73.5,84
COL0006,BCom,Dharashiv,2022,119,150,84,66,36.37,58.1,70.4,104
COL0006,BCom,Dharashiv,2023,146,170,104,66,37.25,65.1,82.3,90
COL0006,BCom,Dharashiv,2024,137,160,90,70,37.31,60.3,69.9,90
COL0007,BCom,Satara,2021,444,120,104,16,70.13,74.1,91.2,107
COL0007,BCom,Satara,2022,471,120,107,13,67.85,80.7,91.6,110
