college_id,college_name,college_type,ownership,district,city,state,university,established_year,naac_grade,nirf_rank,autonomous,accreditation_score,total_students,total_faculty,campus_area_acres,courses_offered,hostel_available,website,status
COL0001,"Padmashri Vikhe Patil Commerce College, Tuljapur",Commerce,Private,Dharashiv,Tuljapur,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1977,B+,,No,2.77,2317,107,2.0,BCom; BCom (Banking & Insurance); MCom; BCom (Accounting & Finance),No,www.padmashrivikhepatilcommercec.ac.in,Active
COL0002,"Marathwada Shikshan Prasarak Mandal's Anandibai Joshi College of Science, Darwha",Science,Autonomous,Yavatmal,Darwha,Maharashtra,Sant Gadge Baba Amravati University,1989,A+,,Yes,3.73,1525,85,29.6,BSc Physics; BSc Computer Science; BSc Chemistry,No,www.marathwadashikshanprasarakma.edu.in,Active
COL0003,"Adarsh College of Education, Dadar",Education (B.Ed/D.Ed),Deemed,Mumbai City,Dadar,Maharashtra,Adarsh College of Education (Deemed to be University),1959,A+,,Yes,3.53,152,9,8.9,M.Ed; B.Ed,Yes,www.adarshcollegeofeducationdada.ac.in,Active
COL0004,"Shahu Maharaj B.Ed. College, Deglur",Education (B.Ed/D.Ed),Private,Nanded,Deglur,Maharashtra,Swami Ramanand Teerth Marathwada University,1998,C,,No,2.09,398,31,8.9,M.Ed; D.Ed; B.Ed,Yes,www.shahumaharajbedcollegedeglur.org.in,Active
COL0005,"Bhausaheb Hire Mahavidyalaya, Solapur","Arts, Science & Commerce",Private,Solapur,Solapur,Maharashtra,Punyashlok Ahilyadevi Holkar Solapur University,1995,B++,,No,3.12,4392,236,4.5,MCom; BA; MA; BCom; MSc,No,www.bhausahebhiremahavidyalayaso.org.in,Active
COL0006,"Lok Shikshan Sanstha's Karmaveer Bhaurao Patil College of Commerce, Dharashiv",Commerce,Private,Dharashiv,Dharashiv,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2019,Not Accredited,,No,0.0,534,43,3.3,BCom (Banking & Insurance); BCom (Accounting & Finance); MCom,No,www.lokshikshansansthaskarmaveer.edu.in,Active
COL0007,"Dnyaneshwar Commerce College, Phaltan",Commerce,Government,Satara,Phaltan,Maharashtra,"Shivaji University, Kolhapur",1875,A,36,Yes,3.3,2707,163,2.1,BCom; MCom; BCom (Accounting & Finance),Yes,www.dnyaneshwarcommercecollegeph.ac.in,Active
COL0008,"Swami Vivekanand Institute of Engineering and Technology, Chandur",Engineering,Private,Amravati,Chandur,Maharashtra,Sant Gadge Baba Amravati University,2016,B++,,No,3.21,998,42,56.8,BE Civil Engineering; BE Computer Engineering; BE Electronics & Telecommunication; BE Electrical Engineering; ME; BE Mechanical Engineering,Yes,www.swamivivekanandinstituteofen.org.in,Active
COL0009,"New Model Institute of Engineering and Technology, Sinnar",Engineering,Government,Nashik,Sinnar,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1872,A,,No,3.48,2915,219,46.9,BE Computer Engineering; ME; BE Electrical Engineering; BE Electronics & Telecommunication,Yes,www.newmodelinstituteofengineeri.ac.in,Active
COL0010,"Sanjivani Rural Education Society's Shahu Maharaj College of Education, Chakan",Education (B.Ed/D.Ed),Autonomous,Pune,Chakan,Maharashtra,Savitribai Phule Pune University,1972,A+,41,Yes,3.68,172,9,6.2,B.Ed; D.Ed,Yes,www.sanjivaniruraleducationsocie.ac.in,Under NAAC Reassessment
COL0011,"Shikshan Prasarak Mandal's Balasaheb Thackeray Mahavidyalaya, Pathri","Arts, Science & Commerce",Private,Parbhani,Pathri,Maharashtra,Swami Ramanand Teerth Marathwada University,1977,B+,,No,2.93,4312,273,9.4,MA; BA; BSc; BCom; MSc; MCom,No,www.shikshanprasarakmandalsbalas.edu.in,Active
COL0012,"Anjuman-I-Islam's Tukaram Commerce College, Thane",Commerce,Private,Thane,Thane,Maharashtra,University of Mumbai,2000,A+,,No,3.74,1496,62,3.5,BCom; MCom; BCom (Banking & Insurance); BCom (Accounting & Finance),No,www.anjuman-i-islamstukaramcomme.ac.in,Active
COL0013,"Dr. Babasaheb Ambedkar College of Engineering and Technology, Bhokardan",Engineering,Private,Jalna,Bhokardan,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2003,B,,Yes,2.62,3288,257,43.6,ME; BE Electronics & Telecommunication; BE Mechanical Engineering; BE Electrical Engineering; BE Computer Engineering; BE Civil Engineering,Yes,www.drbabasahebambedkarcollegeof.edu.in,Active
COL0014,Kolhapur Polytechnic,Polytechnic,Private,Kolhapur,Kolhapur,Maharashtra,"Shivaji University, Kolhapur",2009,B+,,No,2.92,1146,68,11.4,Diploma in Computer Engineering; Diploma in Mechanical Engineering,No,www.kolhapurpolytechnic.edu.in,Active
COL0015,Dondaicha Mahavidyalaya,"Arts, Science & Commerce",Government,Dhule,Dondaicha,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1940,B,,No,2.73,5308,284,44.2,BSc; MSc,Yes,www.dondaichamahavidyalaya.org.in,Active
COL0016,"New Model School of Business Management, Fort",Management (MBA/BBA),Private,Mumbai City,Fort,Maharashtra,University of Mumbai,2000,B++,,No,3.1,483,40,8.1,BBA; MBA,Yes,www.newmodelschoolofbusinessmana.org.in,Active
COL0017,"Yashwantrao Chavan Arts, Science and Commerce College, Chakan","Arts, Science & Commerce",Autonomous,Pune,Chakan,Maharashtra,Savitribai Phule Pune University,1965,A,,Yes,3.38,2356,114,20.6,MSc; BCom; MCom; BA,No,www.yashwantraochavanartsscience.org.in,Active
COL0018,"Bhausaheb Hire Arts, Science and Commerce College, Ballarpur","Arts, Science & Commerce",Private,Chandrapur,Ballarpur,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1998,B++,,No,3.23,1026,43,16.6,MCom; BCom; BSc; MA,No,www.bhausahebhireartsscienceandc.org.in,Active
