complaint_id,college_id,category,priority,status,days_to_resolve,reported_date,resolved_date
CMP00001,COL0078,Transport,Low,Resolved,10,2021-07-14,2021-07-24
CMP00002,COL1892,Library,Medium,Resolved,10,2025-01-20,2025-01-30
CMP00003,COL1173,Internet,High,Resolved,1,2022-12-25,2022-12-26
CMP00004,COL1252,Infrastructure,High,Resolved,24,2023-08-12,2023-09-05
CMP00005,COL0500,Scholarship,Low,Resolved,35,2022-07-26,2022-08-30
CMP00006,COL0126,Scholarship,Medium,Resolved,7,2021-03-10,2021-03-17
CMP00007,COL0770,Library,High,Resolved,3,2022-08-09,2022-08-12
CMP00008,COL0730,Infrastructure,Low,Pending,,2024-01-09,
CMP00009,COL0017,Scholarship,Medium,Resolved,38,2021-12-15,2022-01-22
CMP00010,COL0615,Library,High,Resolved,4,2022-08-30,2022-09-03
CMP00011,COL1332,Scholarship,Medium,Resolved,35,2023-11-14,2023-12-19
CMP00012,COL0529,Faculty,High,Pending,,2024-04-16,
CMP00013,COL1742,Hostel,Medium,Resolved,8,2021-11-24,2021-12-02
CMP00014,COL1977,Transport,Low,Resolved,5,2026-06-07,2026-06-12
CMP00015,COL1273,Faculty,Medium,Resolved,27,2025-09-03,2025-09-30
CMP00016,COL1796,Scholarship,Low,Resolved,15,2021-10-28,2021-11-12
CMP00017,COL1003,Infrastructure,Low,Resolved,56,2024-10-18,2024-12-13
CMP00018,COL1415,Exam,Medium,Resolved,2,2022-08-27,2022-08-29
CMP00019,COL1476,Hostel,Medium,Resolved,4,2024-11-04,2024-11-08
CMP00020,COL0374,Scholarship,Medium,Resolved,52,2021-12-29,2022-02-19
CMP00021,COL1223,Library,High,Resolved,6,2023-06-26,2023-07-02
CMP00022,COL0930,Faculty,High,Resolved,5,2023-02-08,2023-02-13
CMP00023,COL1930,Exam,Medium,Resolved,15,2024-09-16,2024-10-01
CMP00024,COL1510,Infrastructure,Medium,Resolved,33,2023-10-25,2023-11-27
CMP00025,COL0230,Hostel,Low,Resolved,10,2021-12-13,2021-12-23
CMP00026,COL1575,Transport,Medium,Resolved,11,2025-12-07,2025-12-18
CMP00027,COL1729,Infrastructure,Low,Resolved,29,2023-03-03,2023-04-01
CMP00028,COL0760,Internet,Low,Resolved,3,2023-04-20,2023-04-23
CMP00029,COL1080,Exam,Medium,Resolved,6,2022-04-02,2022-04-08
