exam_id,student_id,semester,subject,marks,grade,result,exam_year,attempt
EXM000001,STU033126,1,History,69,B+,Pass,2026,1
EXM000002,STU062422,1,Mathematics,90,O,Pass,2026,1
EXM000003,STU086655,1,Income Tax Law,83,A+,Pass,2026,1
EXM000004,STU025065,2,Marketing Management,61,B+,Pass,2026,1
EXM000005,STU015376,1,Economics,51,B,Pass,2025,1
EXM000006,STU025125,1,Business Economics,36,F,Fail,2026,2
EXM000007,STU091388,3,Business Statistics,63,B+,Pass,2026,1
EXM000008,STU092720,2,Psychology,77,A,Pass,2025,1
EXM000009,STU011504,1,Economics,59,B,Pass,2026,1
EXM000010,STU070514,1,Object Oriented Programming,76,A,Pass,2025,1
EXM000011,STU072359,1,Political Science,72,A,Pass,2026,1
EXM000012,STU052963,3,Cost Accounting,74,A,Pass,2026,1
EXM000013,STU061904,4,Business Law,59,B,Pass,2026,2
EXM000014,STU004601,1,Digital Electronics,38,F,Fail,2026,2
EXM000015,STU097759,3,Surgery,85,A+,Pass,2026,2
EXM000016,STU090214,4,Engineering Physics,100,O,Pass,2025,1
EXM000017,STU090696,1,Mathematics,59,B,Pass,2026,1
EXM000018,STU046262,2,Physics,67,B+,Pass,2025,1
EXM000019,STU063102,1,Engineering Mathematics,55,B,Pass,2026,1
EXM000020,STU061115,1,Banking & Insurance,70,A,Pass,2026,2
EXM000021,STU013516,1,History,44,D,Pass,2026,1
EXM000022,STU021529,1,Financial Accounting,82,A+,Pass,2025,1
EXM000023,STU030586,4,Economics,52,B,Pass,2026,1
EXM000024,STU035102,1,Teaching Methodology,67,B+,Pass,2025,1
EXM000025,STU038672,3,Income Tax Law,47,C,Pass,2026,1
EXM000026,STU009274,1,Engineering Mathematics,51,B,Pass,2025,1
EXM000027,STU001157,1,Chemistry,49,C,Pass,2026,1
EXM000028,STU021673,1,Structural Analysis,54,B,Pass,2023,1
EXM000029,STU064006,3,Environmental Science,54,B,Pass,2026,1
EXM000030,STU032904,2,Anatomy & Physiology,73,A,Pass,2026,1
EXM000031,STU042399,1,Pharmacology,38,F,Fail,2026,2
EXM000032,STU089280,2,Microprocessors,5,F,Fail,2025,1
EXM000033,STU070057,4,Marathi Literature,67,B+,Pass,2026,1
EXM000034,STU092658,3,English Literature,94,O,Pass,2025,1
EXM000035,STU013516,1,History,32,F,Fail,2026,1
EXM000036,STU077184,5,Financial Accounting,61,B+,Pass,2026,1
EXM000037,STU094447,1,Child Health Nursing,59,B,Pass,2026,1
EXM000038,STU085550,1,Financial Accounting,39,F,Fail,2026,2
EXM000039,STU095996,1,English Literature,58,B,Pass,2026,1
EXM000040,STU084826,1,English Literature,64,B+,Pass,2025,1
EXM000041,STU019510,2,Banking & Insurance,47,C,Pass,2025,1
EXM000042,STU056343,1,Business Economics,49,C,Pass,2024,1
EXM000043,STU016597,1,Zoology,72,A,Pass,2026,1
EXM000044,STU022868,1,Business Economics,24,F,Fail,2025,1
EXM000045,STU095640,1,Chemistry,75,A,Pass,2026,1
EXM000046,STU096640,1,Computer Science,80,A+,Pass,2026,1
EXM000047,STU024890,2,Economics,31,F,Fail,2026,2
EXM000048,STU072971,1,Structural Analysis,40,D,Pass,2025,1
EXM000049,STU027748,1,Computer Science,29,F,Fail,2026,1
EXM000050,STU065625,2,Botany,47,C,Pass,2026,1
EXM000051,STU029587,1,Auditing,45,C,Pass,2026,1
EXM000052,STU058584,3,Thermodynamics,50,B,Pass,2026,1
EXM000053,STU091226,1,Biotechnology,81,A+,Pass,2024,1
EXM000054,STU001209,2,Economics,39,F,Fail,2026,1
EXM000055,STU068323,2,Psychology,30,F,Fail,2026,1
EXM000056,STU057714,1,Biotechnology,55,B,Pass,2026,1
EXM000057,STU050161,2,Environmental Science,43,D,Pass,2025,1
EXM000058,STU034227,1,Theory of Computation,62,B+,Pass,2026,1
EXM000059,STU037249,1,Biotechnology,84,A+,Pass,2026,1
EXM000060,STU043333,1,Organizational Behaviour,69,B+,Pass,2026,1
EXM000061,STU014423,2,Strength of Materials,52,B,Pass,2025,2
EXM000062,STU021693,1,Sociology,60,B+,Pass,2026,1
EXM000063,STU045023,3,Chemistry,93,O,Pass,2026,1
EXM000064,STU017941,2,Horticulture,34,F,Fail,2024,1
EXM000065,STU003200,1,Business Economics,47,C,Pass,2026,1
EXM000066,STU083657,1,Business Statistics,49,C,Pass,2026,1
EXM000067,STU055628,1,English Literature,89,A+,Pass,2025,1
EXM000068,STU036422,2,Chemistry,89,A+,Pass,2025,1
EXM000069,STU066815,3,Cost Accounting,45,C,Pass,2026,1
EXM000070,STU086939,1,Mathematics,65,B+,Pass,2026,1
EXM000071,STU027918,2,Auditing,64,B+,Pass,2026,1
EXM000072,STU011337,1,Strength of Materials,65,B+,Pass,2026,1
EXM000073,STU092462,4,History,53,B,Pass,2026,1
EXM000074,STU095174,2,Surveying,91,O,Pass,2026,1
EXM000075,STU048465,1,English Literature,77,A,Pass,2026,1
EXM000076,STU066511,3,Zoology,69,B+,Pass,2026,1
EXM000077,STU062472,2,Educational Administration,49,C,Pass,2026,1
EXM000078,STU073002,1,Financial Accounting,87,A+,Pass,2026,1
EXM000079,STU011932,1,Psychology,65,B+,Pass,2025,1
EXM000080,STU063811,6,Cost Accounting,21,F,Fail,2026,1
EXM000081,STU030871,1,Fluid Mechanics,6,F,Fail,2025,1
EXM000082,STU052420,2,Banking & Insurance,69,B+,Pass,2026,1
EXM000083,STU003910,1,English Literature,90,O,Pass,2026,2
EXM000084,STU064322,2,Business Statistics,90,O,Pass,2025,1
EXM000085,STU036674,2,Operations Management,43,D,Pass,2026,2
EXM000086,STU004819,2,Strength of Materials,77,A,Pass,2023,1
EXM000087,STU024029,1,Business Law,100,O,Pass,2025,1
EXM000088,STU015030,1,Income Tax Law,37,F,Fail,2026,1
EXM000089,STU038018,2,Control Systems,43,D,Pass,2025,1
EXM000090,STU085122,1,Biotechnology,68,B+,Pass,2026,1
EXM000091,STU024431,6,Engineering Physics,71,A,Pass,2025,1
EXM000092,STU057107,1,Cost Accounting,53,B,Pass,2026,1
EXM000093,STU016974,1,Income Tax Law,65,B+,Pass,2024,2
EXM000094,STU028610,1,Botany,28,F,Fail,2026,1
EXM000095,STU089320,2,Data Structures,85,A+,Pass,2026,1
EXM000096,STU076623,1,Mathematics,81,A+,Pass,2026,1
EXM000097,STU014382,4,Object Oriented Programming,16,F,Fail,2025,2
EXM000098,STU019795,4,Business Economics,45,C,Pass,2026,1
EXM000099,STU079097,1,Banking & Insurance,47,C,Pass,2026,2
EXM000100,STU026185,2,Engineering Physics,62,B+,Pass,2023,1
EXM000101,STU051465,2,Principles of Management,71,A,Pass,2025,1
EXM000102,STU046934,2,Mathematics,51,B,Pass,2025,2
EXM000103,STU059380,1,Business Economics,73,A,Pass,2026,1
EXM000104,STU035147,2,Thermodynamics,42,D,Pass,2025,1
EXM000105,STU068786,1,Psychology,68,B+,Pass,2025,1
EXM000106,STU059901,2,Community Health Nursing,40,D,Pass,2026,1
EXM000107,STU092250,3,Financial Accounting,58,B,Pass,2026,1
EXM000108,STU069331,1,Zoology,56,B,Pass,2026,1
EXM000109,STU012360,2,Surgery,57,B,Pass,2026,1
EXM000110,STU003589,1,Banking & Insurance,59,B,Pass,2026,1
EXM000111,STU088786,3,Thermodynamics,81,A+,Pass,2026,1
EXM000112,STU011223,1,Financial Accounting,42,D,Pass,2026,1
EXM000113,STU062382,1,Computer Science,77,A,Pass,2026,2
EXM000114,STU008059,2,Marathi Literature,47,C,Pass,2026,1
EXM000115,STU087840,1,Botany,85,A+,Pass,2026,1
EXM000116,STU056558,4,Computer Science,78,A,Pass,2026,1
EXM000117,STU039712,1,Engineering Physics,55,B,Pass,2026,1
EXM000118,STU050146,3,Physics,38,F,Fail,2026,1
EXM000119,STU048475,2,Psychology,59,B,Pass,2025,2
EXM000120,STU052542,7,Microprocessors,38,F,Fail,2026,2
EXM000121,STU055139,3,Surveying,78,A,Pass,2026,1
EXM000122,STU007148,1,Business Economics,61,B+,Pass,2026,1
EXM000123,STU038613,1,Fluid Mechanics,55,B,Pass,2026,1
EXM000124,STU023315,2,Business Law,64,B+,Pass,2026,1
EXM000125,STU048434,3,Theory of Computation,81,A+,Pass,2024,1
EXM000126,STU055454,4,Environmental Science,68,B+,Pass,2026,1
EXM000127,STU076663,1,Environmental Science,56,B,Pass,2026,1
EXM000128,STU073284,1,History,56,B,Pass,2025,2
EXM000129,STU052600,1,Computer Networks,52,B,Pass,2025,1
EXM000130,STU030946,4,Engineering Mathematics,72,A,Pass,2026,1
EXM000131,STU086169,4,Digital Electronics,43,D,Pass,2026,1
EXM000132,STU074504,1,Mathematics,54,B,Pass,2026,1
EXM000133,STU002173,1,Business Economics,55,B,Pass,2026,1
EXM000134,STU015819,3,Income Tax Law,56,B,Pass,2026,2
EXM000135,STU094151,4,Physics,55,B,Pass,2025,1
EXM000136,STU062814,1,Chemistry,83,A+,Pass,2026,1
