finance_id,college_id,financial_year,annual_budget,government_grant,research_grant,tuition_revenue,expenses,capital_expenditure,operating_expenditure
FIN00001,COL0162,2018,107081000,41224000,8804000,44037000,93310000,21470000,71840000
FIN00002,COL0162,2019,120883000,54258000,14080000,44265000,98618000,33124000,65494000
FIN00003,COL0162,2020,115661000,33384000,10155000,64488000,124435000,22305000,102130000
FIN00004,COL0162,2021,126875000,51898000,8525000,63077000,133721000,37431000,96290000
FIN00005,COL0162,2022,125004000,50841000,6343000,60417000,128127000,44406000,83721000
FIN00006,COL0162,2023,128534000,52839000,13098000,51430000,130046000,27838000,102208000
FIN00007,COL0162,2024,132258000,35324000,14645000,64231000,115232000,26160000,89072000
FIN00008,COL0162,2025,123074000,38761000,14133000,60083000,109297000,29127000,80170000
FIN00009,COL0563,2018,303573000,14966000,12862000,238712000,331401000,62016000,269385000
FIN00010,COL0563,2019,364270000,14882000,12062000,289056000,362013000,104117000,257896000
FIN00011,COL0563,2020,340814000,37546000,13524000,254198000,296105000,73698000,222407000
FIN00012,COL0563,2021,330027000,34299000,14919000,217177000,263153000,61527000,201626000
FIN00013,COL0563,2022,400329000,30313000,14731000,330803000,412406000,82198000,330208000
FIN00014,COL0563,2023,383614000,35852000,8522000,276187000,394491000,98434000,296057000
FIN00015,COL0563,2024,392772000,24580000,23565000,305060000,322940000,71717000,251223000
FIN00016,COL0563,2025,396516000,9749000,19090000,349218000,425636000,71845000,353791000
FIN00017,COL1878,2018,359919000,105338000,12130000,187992000,283539000,79903000,203636000
FIN00018,COL1878,2019,422818000,152563000,23701000,198927000,374947000,75107000,299840000
FIN00019,COL1878,2020,387540000,124414000,14423000,203126000,443235000,143871000,299364000
FIN00020,COL1878,2021,401446000,139879000,8152000,199808000,415606000,72945000,342661000
FIN00021,COL1878,2022,439281000,197369000,14474000,195792000,400805000,106137000,294668000
FIN00022,COL1878,2023,421305000,109236000,21903000,245194000,445064000,72114000,372950000
FIN00023,COL1878,2024,484735000,157640000,10479000,280123000,497168000,161711000,335457000
FIN00024,COL1878,2025,409206000,154155000,17652000,186306000,415527000,134565000,280962000
FIN00025,COL1035,2018,357159000,36435000,6457000,244418000,312064000,91131000,220933000
FIN00026,COL1035,2019,324904000,34159000,3249000,248186000,318832000,106097000,212735000
FIN00027,COL1035,2020,356667000,79791000,5923000,226033000,366755000,84695000,282060000
FIN00028,COL1035,2021,363870000,68800000,7240000,253831000,295506000,89827000,205679000
FIN00029,COL1035,2022,351994000,60131000,6490000,249810000,324116000,49222000,274894000
FIN00030,COL1035,2023,445244000,101858000,4452000,262426000,418054000,85738000,332316000
FIN00031,COL1035,2024,409144000,86588000,7709000,259174000,429150000,124011000,305139000
FIN00032,COL1035,2025,408352000,58791000,5457000,292358000,415627000,136326000,279301000
FIN00033,COL1576,2018,395571000,10307000,36096000,309827000,394499000,89863000,304636000
FIN00034,COL1576,2019,459630000,53211000,40272000,319203000,402871000,136876000,265995000
FIN00035,COL1576,2020,476395000,17458000,46437000,319003000,539068000,98544000,440524000
FIN00036,COL1576,2021,502277000,49127000,29613000,340692000,528349000,114534000,413815000
FIN00037,COL1576,2022,502845000,42789000,42815000,362991000,552035000,162929000,389106000
FIN00038,COL1576,2023,447827000,46244000,30833000,350462000,379956000,86429000,293527000
FIN00039,COL1576,2024,556873000,24188000,32769000,443781000,489274000,99618000,389656000
FIN00040,COL1576,2025,560210000,53966000,46907000,371008000,451679000,148206000,303473000
FIN00041,COL0049,2018,626506000,62479000,8281000,503178000,595175000,152907000,442268000
FIN00042,COL0049,2019,594096000,34561000,9990000,491534000,678999000,143876000,535123000
FIN00043,COL0049,2020,585141000,53151000,11053000,451797000,441049000,100116000,340933000
FIN00044,COL0049,2021,648204000,35982000,6482000,502544000,621249000,125435000,495814000
FIN00045,COL0049,2022,669311000,47265000,6693000,487691000,526664000,163884000,362780000
