college_id,year,student_satisfaction,placement_rate,graduation_rate,dropout_rate,faculty_student_ratio,research_score,infrastructure_score,financial_health_score,overall_state_rank
COL0001,2021,78.6,62.7,80.7,9.0,17,52.4,77.1,67.0,1749
COL0001,2022,71.6,61.9,69.8,11.7,17,52.8,67.4,71.1,1900
COL0001,2023,72.8,67.1,81.4,10.7,18,53.7,70.4,76.9,1766
COL0001,2024,78.8,64.9,82.3,9.7,17,55.1,76.1,69.0,1748
COL0001,2025,78.6,68.1,81.5,11.5,17,56.4,74.5,73.7,1784
COL0002,2021,91.2,91.5,100,0.9,10,100,96.2,93.0,168
COL0002,2022,94.2,87.9,100,1.5,10,100,91.0,88.3,295
COL0002,2023,99.4,96.7,100,1.0,8,100,96.8,100,11
COL0002,2024,94.5,94.2,100,0.2,8,100,99.6,90.6,238
COL0002,2025,93.2,90.0,100,0.2,9,100,91.9,89.6,261
COL0003,2021,92.7,86.7,100,4.3,13,93.4,88.4,89.6,526
COL0003,2022,93.0,88.6,99.9,3.9,8,90.5,95.3,94.3,565
COL0003,2023,95.0,91.7,100,1.6,12,90.9,88.9,93.4,402
COL0003,2024,90.8,88.5,100,1.9,11,93.0,96.1,90.8,395
COL0003,2025,97.4,89.8,100,3.0,9,99.7,96.2,91.2,354
COL0004,2021,71.0,56.1,65.4,12.7,20,43.8,70.3,64.0,1950
COL0004,2022,75.9,59.1,68.0,13.5,18,43.2,65.0,63.9,1982
COL0004,2023,73.9,54.9,70.9,13.6,21,43.1,66.5,70.8,1965
COL0004,2024,73.8,56.7,66.4,12.7,18,45.4,71.3,68.5,1966
COL0004,2025,73.6,61.1,69.5,11.0,21,52.7,70.7,68.6,1891
COL0005,2021,84.9,76.0,86.7,9.7,13,65.9,81.9,76.7,1401
COL0005,2022,84.0,72.8,92.5,6.1,14,68.6,83.1,75.2,1286
COL0005,2023,84.6,72.7,88.5,8.6,13,69.9,86.2,75.7,1436
COL0005,2024,81.9,76.7,91.3,9.3,13,69.2,81.1,81.9,1404
COL0005,2025,85.8,75.2,84.3,9.2,12,71.0,78.6,84.6,1415
COL0006,2021,77.1,63.1,73.5,12.6,21,55.3,69.2,73.8,1862
COL0006,2022,73.8,58.1,70.4,11.6,19,51.8,72.7,65.1,1929
COL0006,2023,77.2,65.1,82.3,11.0,19,51.9,67.9,72.2,1812
COL0006,2024,76.2,60.3,69.9,13.3,16,54.8,69.2,72.1,1916
COL0006,2025,80.8,71.2,84.5,8.8,16,60.8,78.8,70.6,1689
COL0007,2021,90.8,74.1,91.2,5.5,11,70.7,88.3,78.4,1087
COL0007,2022,87.5,80.7,91.6,5.6,14,82.9,90.3,84.9,1000
COL0007,2023,83.0,73.7,90.5,6.7,14,69.7,82.3,78.8,1314
COL0007,2024,83.1,82.5,100,5.2,13,81.9,84.1,77.9,1072
COL0007,2025,84.0,76.5,96.6,5.1,14,79.2,80.7,85.0,1114
COL0008,2021,80.8,71.7,86.0,9.4,13,74.8,81.9,85.1,1381
COL0008,2022,82.7,80.7,97.1,6.1,13,78.9,77.6,77.3,1201
COL0008,2023,88.2,80.6,99.2,5.7,14,77.6,83.3,79.2,1084
COL0008,2024,82.6,79.8,98.1,6.0,12,80.0,77.9,80.0,1116
COL0008,2025,87.1,80.8,98.7,8.2,15,85.0,80.4,86.9,1198
COL0009,2021,94.9,91.9,100,3.8,9,99.1,92.0,94.1,365
COL0009,2022,92.0,90.2,100,2.4,12,99.7,90.2,82.9,453
COL0009,2023,89.1,88.2,100,2.9,12,96.0,91.6,84.2,602
COL0009,2024,92.4,93.0,100,5.0,10,97.6,86.5,93.1,601
COL0009,2025,92.9,84.4,94.7,3.1,10,100,89.4,84.7,588
COL0010,2021,95.4,87.1,100,3.7,11,90.9,88.6,91.9,582
COL0010,2022,89.6,86.1,100,4.6,11,91.3,90.7,87.6,718
