infra_id,college_id,classrooms,labs,smart_classrooms,library_books,hostel_capacity,internet_speed_mbps,sports_complex,canteen,medical_center,solar_power
INF00001,COL0001,47,4,8,11348,0,210,No,Yes,No,No
INF00002,COL0001,48,4,12,11870,0,224,No,Yes,No,No
INF00003,COL0001,50,4,21,11808,0,246,No,Yes,No,No
INF00004,COL0001,50,4,20,13332,0,244,No,Yes,No,Yes
INF00005,COL0001,49,4,34,13352,0,283,No,Yes,No,No
INF00006,COL0002,32,19,6,8423,0,390,No,Yes,No,No
INF00007,COL0002,32,19,8,8625,0,409,No,Yes,No,No
INF00008,COL0002,33,20,12,8901,0,428,No,Yes,No,No
INF00009,COL0002,35,21,18,9101,0,485,No,Yes,No,Yes
INF00010,COL0002,35,21,26,9959,0,498,No,Yes,No,No
INF00011,COL0003,6,1,0,1712,59,390,No,Yes,Yes,No
INF00012,COL0003,6,1,1,1785,60,409,No,Yes,Yes,No
INF00013,COL0003,6,1,1,1917,59,441,No,Yes,Yes,Yes
INF00014,COL0003,6,1,2,1977,59,460,No,Yes,Yes,No
INF00015,COL0003,7,1,3,2115,59,531,No,Yes,Yes,No
INF00016,COL0004,8,1,1,2633,155,90,Yes,Yes,No,No
INF00017,COL0004,8,1,2,2750,159,94,Yes,Yes,No,No
INF00018,COL0004,9,1,3,2738,155,99,Yes,Yes,No,No
INF00019,COL0004,9,1,5,2888,167,99,Yes,Yes,No,No
INF00020,COL0004,8,1,5,2873,169,120,Yes,Yes,No,Yes
INF00021,COL0005,95,14,17,20587,0,270,No,Yes,Yes,No
INF00022,COL0005,97,14,27,21098,0,282,No,Yes,Yes,No
INF00023,COL0005,100,15,34,21773,0,289,No,Yes,Yes,No
INF00024,COL0005,100,15,58,23946,0,298,No,Yes,Yes,Yes
INF00025,COL0005,106,16,52,22670,0,373,No,Yes,Yes,No
INF00026,COL0006,12,2,2,3516,0,150,Yes,Yes,No,No
INF00027,COL0006,12,2,3,3708,0,157,Yes,Yes,No,No
INF00028,COL0006,13,2,5,3735,0,164,Yes,Yes,No,No
INF00029,COL0006,13,2,7,3959,0,165,Yes,Yes,No,No
INF00030,COL0006,14,2,10,4318,0,204,Yes,Yes,No,Yes
INF00031,COL0007,59,6,5,15760,937,270,No,Yes,No,No
INF00032,COL0007,60,6,10,16686,952,289,No,Yes,No,No
INF00033,COL0007,60,6,18,17024,946,318,No,Yes,No,No
INF00034,COL0007,61,6,19,17831,957,333,No,Yes,No,Yes
INF00035,COL0007,68,7,27,18520,984,349,No,Yes,No,No
INF00036,COL0008,21,12,4,4535,225,270,Yes,Yes,No,No
INF00037,COL0008,21,12,5,4674,231,296,Yes,Yes,No,No
INF00038,COL0008,22,13,7,5019,233,313,Yes,Yes,No,No
INF00039,COL0008,23,13,8,5252,238,311,Yes,Yes,No,No
INF00040,COL0008,22,13,10,4975,232,344,Yes,Yes,No,Yes
INF00041,COL0009,58,23,5,19999,505,270,Yes,Yes,No,Yes
INF00042,COL0009,60,24,11,20741,506,278,Yes,Yes,No,No
INF00043,COL0009,62,25,18,22134,509,308,Yes,Yes,No,Yes
INF00044,COL0009,61,24,29,23110,546,343,Yes,Yes,No,Yes
INF00045,COL0009,62,25,22,24095,530,369,Yes,Yes,No,Yes
INF00046,COL0010,6,1,1,3250,57,390,No,Yes,No,No
INF00047,COL0010,6,1,1,3428,57,425,No,Yes,No,No
INF00048,COL0010,6,1,2,3587,57,426,No,Yes,No,Yes
INF00049,COL0010,6,1,3,3822,60,448,No,Yes,No,No
INF00050,COL0010,7,1,4,3998,64,449,No,Yes,No,Yes
INF00051,COL0011,79,9,14,17995,0,210,No,Yes,Yes,No
INF00052,COL0011,80,9,25,18742,0,227,No,Yes,Yes,No
INF00053,COL0011,84,10,30,18816,0,242,No,Yes,Yes,No
INF00054,COL0011,84,10,47,20629,0,242,No,Yes,Yes,Yes
INF00055,COL0011,86,10,47,20286,0,243,No,Yes,Yes,Yes
INF00056,COL0012,28,5,5,10753,0,390,No,Yes,No,No
INF00057,COL0012,29,5,7,11172,0,426,No,Yes,No,No
INF00058,COL0012,29,5,9,11627,0,448,No,Yes,No,No
INF00059,COL0012,31,6,17,12266,0,443,No,Yes,No,Yes
INF00060,COL0012,29,5,14,12431,0,530,No,Yes,No,Yes
INF00061,COL0013,73,37,13,14490,498,150,Yes,Yes,Yes,No
INF00062,COL0013,75,38,18,14924,505,163,Yes,Yes,Yes,No
INF00063,COL0013,77,39,35,15760,525,179,Yes,Yes,Yes,No
INF00064,COL0013,80,41,38,16804,538,181,Yes,Yes,Yes,No
INF00065,COL0013,80,41,40,16222,544,195,Yes,Yes,Yes,Yes
INF00066,COL0014,24,10,4,4698,0,210,Yes,Yes,Yes,Yes
INF00067,COL0014,25,10,7,4870,0,219,Yes,Yes,Yes,No
INF00068,COL0014,26,11,10,5147,0,248,Yes,Yes,Yes,No
INF00069,COL0014,26,11,9,5178,0,262,Yes,Yes,Yes,No
INF00070,COL0014,28,12,16,5636,0,267,Yes,Yes,Yes,No
INF00071,COL0015,127,14,10,28027,1015,90,Yes,Yes,No,No
INF00072,COL0015,128,14,25,28740,1017,96,Yes,Yes,No,No
INF00073,COL0015,131,14,33,30855,1061,100,Yes,Yes,No,No
INF00074,COL0015,134,15,37,29774,1106,108,Yes,Yes,No,Yes
INF00075,COL0015,142,16,81,33192,1131,120,Yes,Yes,No,Yes
