placement_id,college_id,student_id,branch,graduation_year,company,package_lpa,internship_company,internship_stipend,placement_status,job_role,location
PLC000001,COL1438,STU073073,MSc,2027,LTIMindtree,6.1,,,Placed,IT Analyst,Pune
PLC000002,COL0181,STU009609,MSc,2027,,,,,Not Placed,,
PLC000003,COL1685,STU084232,MCom,2027,Byju's,5.7,Mahindra & Mahindra,19500,Placed,Process Associate,Pune
PLC000004,COL0532,STU027165,M.Ed,2027,,,Teleperformance,11500,Not Eligible,,
PLC000005,COL0764,STU038371,BA,2027,,,Persistent Systems,16000,Not Placed,,
PLC000006,COL1598,STU080351,MA,2027,ICICI Bank,7.4,,,Placed,Relationship Manager,Gurugram
PLC000007,COL1713,STU085586,BCom,2027,Teleperformance,4.0,Wipro BPO,9000,Placed,Content Associate,Nashik
PLC000008,COL1362,STU068746,MA,2027,Teleperformance,5.2,,,Placed,Customer Support Executive,Nashik
PLC000009,COL1384,STU070184,MA,2027,Tech Mahindra,5.2,,,Placed,Technical Consultant,Mumbai
PLC000010,COL0452,STU022905,MCom,2027,,,Larsen & Toubro,19500,Not Placed,,
PLC000011,COL1364,STU068891,MSc,2027,EY,12.5,ICICI Bank,16000,Placed,Relationship Manager,Noida
PLC000012,COL1795,STU089712,BCom,2027,,,Godrej & Boyce,18500,Not Placed,,
PLC000013,COL0260,STU013513,MCom,2027,HCLTech,5.2,Teleperformance,11500,Placed,Software Trainee,Hyderabad
PLC000014,COL0863,STU043349,MCom,2027,,,Mahindra & Mahindra,12500,Not Placed,,
PLC000015,COL0222,STU011722,MSc,2027,,,Cadila Healthcare,9500,Not Placed,,
PLC000016,COL1687,STU084270,M.Pharm,2027,,,,,Not Eligible,,
PLC000017,COL1095,STU054731,MCom,2027,Asian Paints,12.9,,,Placed,Sales Executive,Gurugram
PLC000018,COL1304,STU065384,MCom,2027,,,Lupin,10500,Not Placed,,
PLC000019,COL1021,STU051218,MCom,2027,,,Cognizant,23000,Not Eligible,,
PLC000020,COL0879,STU044303,MCom,2027,,,SAP Labs,61500,Not Placed,,
PLC000021,COL1683,STU084073,M.Ed,2027,,,,,Not Placed,,
PLC000022,COL1651,STU082438,ME,2027,ABB India,8.7,Uber,41500,Placed,Site Engineer,Nashik
PLC000023,COL0855,STU043034,ME,2027,,,Bajaj Auto,16500,Not Placed,,
PLC000024,COL0452,STU022904,MCom,2027,Godrej Consumer Products,11.7,Thermax,19000,Placed,Management Trainee,Noida
PLC000025,COL0130,STU006705,BE Civil Engineering,2027,Tech Mahindra,7.2,Amazon,61500,Placed,Systems Engineer,Mumbai
PLC000026,COL0761,STU038028,BE Civil Engineering,2027,Bajaj Auto,6.8,Fortis Healthcare,14000,Placed,Design Engineer,Pune
PLC000027,COL0371,STU019280,M.Pharm,2027,,,Infosys,15000,Not Placed,,
PLC000028,COL0942,STU047179,BSc Chemistry,2027,ITC Limited,6.8,,,Placed,Brand Associate,Chennai
PLC000029,COL0307,STU016169,MCom,2027,HDFC Bank,10.9,,,Placed,Financial Analyst,Noida
PLC000030,COL0351,STU018301,MA,2027,Persistent Systems,11.7,Amazon,66500,Placed,IT Analyst,Hyderabad
PLC000031,COL1404,STU071318,MA,2027,,,,,Not Placed,,
PLC000032,COL1832,STU091301,MCom,2027,,,,,Not Placed,,
PLC000033,COL0111,STU005762,BCom (Accounting & Finance),2027,PwC,8.0,,,Placed,Relationship Manager,Mumbai
PLC000034,COL0919,STU046210,MSc,2027,,,TCS,22500,Not Placed,,
PLC000035,COL0432,STU022030,MMS,2027,,,Amazon (Operations),8000,Not Eligible,,
PLC000036,COL1303,STU065346,MSc,2027,ITC Limited,14.8,,,Placed,Management Trainee,Chennai
PLC000037,COL1388,STU070442,MA,2027,Asian Paints,11.5,,,Placed,Sales Executive,Hyderabad
PLC000038,COL0588,STU029555,MCom,2027,,,Cadila Healthcare,11000,Not Placed,,
PLC000039,COL0685,STU034153,BE Electronics & Telecommunication,2027,Godrej & Boyce,7.2,,,Placed,Production Engineer,Pune
PLC000040,COL1435,STU072781,ME,2027,,,Infosys,24000,Not Placed,,
PLC000041,COL1927,STU096433,M.Pharm,2027,Cipla,6.4,,,Placed,Quality Control Analyst,Pune
PLC000042,COL1793,STU089568,D.Pharm,2027,Max Healthcare,4.4,,,Placed,Clinical Associate,Nagpur
PLC000043,COL0513,STU026263,BCom,2027,,,,,Not Placed,,
PLC000044,COL0470,STU024006,BSc,2027,Byju's,5.0,,,Placed,Operations Executive,Pune
PLC000045,COL0513,STU026397,MSc,2027,,,,,Not Placed,,
PLC000046,COL0175,STU009100,MA,2027,Concentrix,5.3,Amazon,70000,Placed,Operations Executive,Pune
PLC000047,COL1444,STU073447,MD,2027,Ruby Hall Clinic,5.5,HDFC Life,26500,Placed,Clinical Associate,Nagpur
PLC000048,COL0138,STU007121,MSc,2027,Wipro,6.6,Tata Steel,17500,Placed,Systems Engineer,Pune
PLC000049,COL1719,STU085768,MSc,2027,,,,,Not Placed,,
PLC000050,COL1977,STU099002,MA,2027,,,,,Not Eligible,,
PLC000051,COL1017,STU050967,MCom,2027,,,,,Not Placed,,
PLC000052,COL1337,STU067325,BE Electronics & Telecommunication,2027,Amazon,18.5,,,Placed,Software Development Engineer,Pune
PLC000053,COL0867,STU043703,MA,2027,,,,,Not Placed,,
PLC000054,COL1620,STU081069,BE Computer Engineering,2027,Persistent Systems,10.7,,,Placed,Associate Software Engineer,Bengaluru
PLC000055,COL1273,STU063518,MSc,2027,Concentrix,5.7,,,Placed,Operations Executive,Nashik
