research_id,college_id,department,publications,citations,patents,funded_projects,research_funding,international_collaborations
RES00001,COL0491,Business Analytics,0,0,0,0,0,0
RES00002,COL1892,Information Technology,4,24,15,2,6602000,2
RES00003,COL1352,Banking & Finance,1,5,2,2,2761000,1
RES00004,COL0624,Electronics & Telecommunication,10,36,8,6,7312000,0
RES00005,COL1080,Economics,1,10,0,0,0,3
RES00006,COL1616,Civil Engineering,2,15,2,1,2759000,1
RES00007,COL0343,Economics,4,28,1,3,7822000,1
RES00008,COL0104,Mechanical Engineering,1,7,1,0,253000,0
RES00009,COL1193,Building Construction & Materials,0,0,0,1,410000,0
RES00010,COL1878,Mechanical Engineering,2,11,2,0,112000,1
RES00011,COL1125,Mathematics,1,7,1,0,168000,1
RES00012,COL1763,Business Administration,22,131,4,5,4134000,2
RES00013,COL0307,Chemistry,2,18,2,4,12708000,3
RES00014,COL0465,Commerce,1,10,4,1,4502000,2
RES00015,COL0410,Physics,1,9,0,0,0,2
RES00016,COL1723,Economics,0,0,0,1,982000,4
RES00017,COL1347,Physics,8,40,4,1,1751000,1
RES00018,COL1346,Mechanical Engineering,0,0,3,1,1002000,2
RES00019,COL0085,Banking & Finance,6,44,2,4,2284000,2
RES00020,COL1887,Commerce,2,9,1,0,91000,1
RES00021,COL0400,Finance,1,2,0,0,0,2
RES00022,COL0203,Physics,0,0,0,0,0,1
RES00023,COL0497,Mechanical Engineering,3,16,8,4,5864000,2
RES00024,COL1488,Agronomy,2,17,2,2,1866000,3
RES00025,COL1084,Chemistry,2,12,1,4,9167000,1
RES00026,COL1345,Economics,11,91,5,1,3568000,0
RES00027,COL1856,Physics,4,29,2,1,2559000,1
RES00028,COL0048,Civil Engineering,3,18,0,2,5178000,2
RES00029,COL1686,Pharmaceutics,2,22,0,1,1690000,1
RES00030,COL1971,Electronics & Telecommunication,3,25,4,1,2051000,2
RES00031,COL1208,Mechanical Engineering,7,22,3,5,7086000,1
RES00032,COL0217,Mechanical Engineering,0,0,1,0,287000,1
RES00033,COL1175,Mathematics,11,78,3,2,5471000,2
RES00034,COL0983,Physics,9,56,0,1,1465000,0
RES00035,COL0628,Civil Engineering,25,136,2,6,15158000,2
RES00036,COL1534,Economics,44,273,5,9,18012000,0
RES00037,COL0914,Electronics & Telecommunication,14,58,4,5,4091000,0
RES00038,COL0374,Information Technology,22,64,6,5,10514000,2
RES00039,COL1737,Physics,22,146,1,3,3687000,1
RES00040,COL0175,Marathi,3,24,1,1,2084000,1
RES00041,COL1246,Pharmacology,1,6,0,2,1796000,1
RES00042,COL0299,Mechanical Engineering,1,4,2,1,2320000,2
RES00043,COL0951,Electronics & Telecommunication,1,10,4,1,2895000,3
RES00044,COL0464,Mechanical Engineering,1,5,0,1,1742000,2
RES00045,COL1990,Political Science,4,33,2,1,1359000,2
RES00046,COL1112,Information Technology,0,0,0,0,0,1
RES00047,COL0264,Marathi,0,0,0,0,0,3
RES00048,COL1779,Information Technology,63,531,4,4,9355000,2
RES00049,COL2000,Botany,1,5,0,0,0,2
RES00050,COL0707,Accountancy,11,63,5,7,19116000,1
RES00051,COL0500,Mechanical Engineering,1,6,2,0,243000,1
RES00052,COL1763,Accountancy,1,5,0,2,4123000,2
RES00053,COL0581,Human Resources,2,16,1,1,1632000,3
RES00054,COL0582,Mathematics,4,18,0,1,1455000,0
RES00055,COL0274,Civil Engineering,43,309,1,6,5427000,2
RES00056,COL0611,Information Technology,1,9,0,1,1187000,5
RES00057,COL0722,Marathi,1,5,1,0,187000,2
RES00058,COL1016,English,0,0,0,0,0,3
RES00059,COL0355,Electronics & Telecommunication,1,7,3,1,3073000,2
RES00060,COL1505,Zoology,17,81,0,1,1193000,3
RES00061,COL0408,Computer Engineering,19,165,6,7,14722000,2
RES00062,COL0139,Marathi,3,21,0,4,9259000,0
RES00063,COL0231,Electronics & Telecommunication,3,26,8,2,6845000,3
RES00064,COL0642,Constitutional Law,5,37,1,4,8942000,1
RES00065,COL0647,Mathematics,2,16,3,3,8220000,1
RES00066,COL0442,Architectural Design,2,14,1,2,3384000,3
RES00067,COL1997,Computer Science,10,70,4,3,2510000,2
RES00068,COL0124,Civil Engineering,4,36,1,1,3356000,2
RES00069,COL0925,Electrical Engineering,12,64,2,4,2168000,2
RES00070,COL0126,Information Technology,1,5,3,1,2827000,1
RES00071,COL0022,Marathi,60,440,4,9,22177000,0
RES00072,COL0439,Zoology,9,74,0,2,2608000,2
RES00073,COL1298,English,9,66,0,0,0,2
RES00074,COL0185,Mechanical Engineering,1,3,0,0,0,0
RES00075,COL0300,Electronics & Telecommunication,25,121,1,3,3633000,3
RES00076,COL1749,Information Technology,5,47,3,2,5597000,1
RES00077,COL1744,Marathi,6,30,1,3,5619000,1
RES00078,COL1334,Finance,0,0,0,0,0,1
RES00079,COL0134,Economics,1,6,0,0,0,3
RES00080,COL1952,Electronics & Telecommunication,13,132,8,10,7859000,3
RES00081,COL0733,Computer Science,16,85,2,3,5789000,3
RES00082,COL1110,Economics,2,10,1,1,2926000,1
RES00083,COL0522,Sociology,2,9,0,2,3752000,4
RES00084,COL1455,Physics,1,10,0,0,0,2
RES00085,COL1030,Accountancy,0,0,1,0,196000,2
RES00086,COL1493,Information Technology,5,29,1,2,2635000,1
RES00087,COL0547,Marathi,21,190,2,4,16226000,2
RES00088,COL0687,History,0,0,0,1,2704000,0
RES00089,COL1397,Physics,4,18,0,2,5329000,1
RES00090,COL0180,Computer Science,13,68,14,10,18964000,3
RES00091,COL0369,Information Technology,3,18,3,1,3327000,2
RES00092,COL0548,Commerce,2,9,0,1,510000,0
RES00093,COL0561,Banking & Finance,1,5,5,3,4105000,2
RES00094,COL0222,Commerce,0,0,1,1,2236000,2
RES00095,COL1074,Chemistry,0,0,1,0,166000,1
RES00096,COL1246,Pharmaceutical Chemistry,1,6,3,0,817000,1
RES00097,COL0030,Electronics & Telecommunication,2,13,3,3,1975000,1
RES00098,COL1627,Mechanical Engineering,16,87,0,1,1177000,2
