institute_id,institute_name,district,department,year,enrollment,seats_available,faculty_count,student_faculty_ratio,placement_pct,dropout_pct,avg_package_lpa,infrastructure_score,funding_lakhs
INST_001,COEP Technological University,Pune,Computer Engineering,2019,125,130,11,11.4,99.5,3.3,13.37,8.2,243.98
INST_001,COEP Technological University,Pune,Computer Engineering,2020,120,120,9,13.3,99.5,6.1,13.67,8.2,267.53
INST_001,COEP Technological University,Pune,Computer Engineering,2021,140,140,11,12.7,99.5,3.6,14.84,8.2,283.82
INST_001,COEP Technological University,Pune,Computer Engineering,2022,140,140,11,12.7,99.5,4.0,15.87,8.2,281.59
INST_001,COEP Technological University,Pune,Computer Engineering,2023,150,150,10,15.0,99.5,4.6,16.58,8.2,286.66
INST_001,COEP Technological University,Pune,Computer Engineering,2024,170,170,14,12.1,99.5,4.5,17.48,8.2,314.98
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2019,120,120,10,12.0,94.3,5.6,9.52,7.6,217.87
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2020,118,120,10,11.8,93.2,8.9,10.18,7.6,235.78
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2021,130,130,11,11.8,91.5,4.6,11.81,7.6,260.12
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2022,110,110,9,12.2,95.8,5.2,12.29,7.6,268.62
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2023,120,120,8,15.0,98.4,5.2,12.48,7.6,273.34
INST_001,COEP Technological University,Pune,Electronics & Telecommunication,2024,120,120,7,17.1,98.9,6.8,13.74,7.6,282.1
INST_001,COEP Technological University,Pune,Mechanical Engineering,2019,109,120,9,12.1,82.3,7.0,7.92,7.7,231.28
INST_001,COEP Technological University,Pune,Mechanical Engineering,2020,111,115,9,12.3,78.2,11.3,8.6,7.7,251.53
INST_001,COEP Technological University,Pune,Mechanical Engineering,2021,95,110,7,13.6,76.7,10.4,8.78,7.7,273.79
INST_001,COEP Technological University,Pune,Mechanical Engineering,2022,81,95,7,11.6,92.0,7.7,10.05,7.7,277.88
INST_001,COEP Technological University,Pune,Mechanical Engineering,2023,77,90,5,15.4,85.4,8.9,10.49,7.7,293.23
INST_001,COEP Technological University,Pune,Mechanical Engineering,2024,86,105,6,14.3,87.8,7.9,11.29,7.7,302.41
INST_001,COEP Technological University,Pune,Civil Engineering,2019,64,70,4,16.0,74.5,11.1,7.23,8.3,234.49
INST_001,COEP Technological University,Pune,Civil Engineering,2020,57,65,4,14.2,72.3,12.2,7.07,8.3,245.3
INST_001,COEP Technological University,Pune,Civil Engineering,2021,35,40,3,11.7,75.8,9.7,8.03,8.3,262.17
INST_001,COEP Technological University,Pune,Civil Engineering,2022,45,55,4,11.2,83.9,9.2,9.73,8.3,289.07
INST_001,COEP Technological University,Pune,Civil Engineering,2023,33,40,3,11.0,81.4,8.1,10.06,8.3,284.53
INST_001,COEP Technological University,Pune,Civil Engineering,2024,23,30,3,7.7,84.0,8.1,10.4,8.3,287.04
INST_001,COEP Technological University,Pune,MBA / Management Studies,2019,47,50,3,15.7,97.3,4.4,11.93,8.7,264.77
INST_001,COEP Technological University,Pune,MBA / Management Studies,2020,55,55,4,13.8,92.3,7.2,12.54,8.7,267.19
INST_001,COEP Technological University,Pune,MBA / Management Studies,2021,80,80,5,16.0,99.5,6.3,12.51,8.7,285.14
INST_001,COEP Technological University,Pune,MBA / Management Studies,2022,65,65,5,13.0,99.5,5.2,13.54,8.7,292.52
INST_001,COEP Technological University,Pune,MBA / Management Studies,2023,90,90,6,15.0,99.5,3.7,13.23,8.7,292.13
INST_001,COEP Technological University,Pune,MBA / Management Studies,2024,85,85,8,10.6,99.5,3.4,15.03,8.7,317.52
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2019,106,130,8,13.2,85.2,2.8,11.83,7.1,124.51
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2020,112,120,10,11.2,85.6,7.6,12.58,7.1,153.2
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2021,129,130,9,14.3,81.4,5.4,12.77,7.1,161.12
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2022,150,150,8,18.8,93.0,5.7,13.57,7.1,161.83
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2023,150,150,9,16.7,95.6,4.5,13.85,7.1,180.1
INST_002,Sinhgad College of Engineering,Pune,Computer Engineering,2024,180,180,10,18.0,93.7,6.1,13.9,7.1,193.32
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2019,97,120,6,16.2,80.9,6.8,8.83,6.6,106.5
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2020,108,130,5,21.6,69.3,12.4,8.59,6.6,114.74
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2021,115,130,4,28.8,67.4,9.8,9.2,6.6,140.25
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2022,101,110,6,16.8,80.3,6.2,9.83,6.6,143.12
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2023,130,130,8,16.2,79.0,6.7,10.64,6.6,161.94
INST_002,Sinhgad College of Engineering,Pune,Electronics & Telecommunication,2024,110,110,6,18.3,81.0,7.3,11.44,6.6,166.48
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2019,98,120,5,19.6,64.5,9.5,6.53,6.6,118.62
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2020,91,115,6,15.2,62.9,11.9,7.74,6.6,121.94
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2021,75,100,5,15.0,66.4,7.9,7.27,6.6,144.99
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2022,75,105,5,15.0,69.7,9.5,8.18,6.6,157.5
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2023,62,90,3,20.7,69.7,11.8,8.47,6.6,162.55
INST_002,Sinhgad College of Engineering,Pune,Mechanical Engineering,2024,59,95,3,19.7,75.0,10.6,9.81,6.6,179.69
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2019,57,70,5,11.4,64.7,9.7,5.83,6.8,107.02
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2020,41,55,3,13.7,59.5,13.6,6.98,6.8,114.72
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2021,44,60,3,14.7,62.5,9.4,5.83,6.8,127.73
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2022,39,55,3,13.0,66.3,8.9,7.59,6.8,140.23
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2023,27,40,3,9.0,70.8,9.3,7.65,6.8,160.63
INST_002,Sinhgad College of Engineering,Pune,Civil Engineering,2024,20,35,3,6.7,71.0,8.5,8.83,6.8,174.41
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2019,47,60,3,15.7,77.8,7.0,9.38,7.0,122.49
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2020,61,65,3,20.3,72.6,9.5,8.74,7.0,128.61
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2021,66,70,3,22.0,74.7,6.1,11.26,7.0,132.87
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2022,65,65,5,13.0,87.4,5.0,10.96,7.0,154.56
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2023,80,80,4,20.0,87.7,6.4,12.18,7.0,165.82
INST_002,Sinhgad College of Engineering,Pune,MBA / Management Studies,2024,85,85,6,14.2,84.1,5.0,12.2,7.0,181.19
INST_003,MIT World Peace University,Pune,Computer Engineering,2019,94,120,4,23.5,79.9,6.4,11.67,6.6,133.3
INST_003,MIT World Peace University,Pune,Computer Engineering,2020,116,130,6,19.3,80.9,10.5,12.16,6.6,153.75
INST_003,MIT World Peace University,Pune,Computer Engineering,2021,130,130,10,13.0,87.8,4.0,13.27,6.6,157.54
INST_003,MIT World Peace University,Pune,Computer Engineering,2022,160,160,7,22.9,83.9,5.1,13.17,6.6,171.08
INST_003,MIT World Peace University,Pune,Computer Engineering,2023,160,160,9,17.8,91.0,4.0,14.38,6.6,182.51
INST_003,MIT World Peace University,Pune,Computer Engineering,2024,170,170,10,17.0,91.5,3.9,14.5,6.6,192.57
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2019,90,110,3,30.0,76.6,9.0,8.81,7.2,91.88
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2020,92,110,4,23.0,69.9,11.9,8.11,7.2,114.41
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2021,110,120,6,18.3,70.2,5.9,9.23,7.2,118.47
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2022,109,120,6,18.2,80.1,5.1,9.75,7.2,134.72
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2023,120,120,6,20.0,77.7,7.4,10.49,7.2,146.67
INST_003,MIT World Peace University,Pune,Electronics & Telecommunication,2024,130,130,5,26.0,76.1,9.9,11.82,7.2,156.39
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2019,95,120,6,15.8,64.5,8.7,6.11,7.0,129.28
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2020,92,125,4,23.0,58.4,13.4,7.21,7.0,143.95
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2021,78,100,3,26.0,67.0,10.9,7.9,7.0,161.84
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2022,64,95,3,21.3,66.8,9.1,8.76,7.0,175.94
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2023,56,90,3,18.7,70.0,8.6,9.49,7.0,172.34
INST_003,MIT World Peace University,Pune,Mechanical Engineering,2024,59,95,3,19.7,66.4,10.4,9.7,7.0,183.99
INST_003,MIT World Peace University,Pune,Civil Engineering,2019,51,60,3,17.0,61.8,11.3,4.93,6.9,145.04
INST_003,MIT World Peace University,Pune,Civil Engineering,2020,41,55,3,13.7,56.3,11.4,5.59,6.9,136.49
INST_003,MIT World Peace University,Pune,Civil Engineering,2021,45,60,3,15.0,59.2,9.5,6.9,6.9,151.92
INST_003,MIT World Peace University,Pune,Civil Engineering,2022,37,55,3,12.3,65.3,10.1,8.15,6.9,166.28
INST_003,MIT World Peace University,Pune,Civil Engineering,2023,36,50,3,12.0,67.8,9.6,8.43,6.9,177.25
INST_003,MIT World Peace University,Pune,Civil Engineering,2024,21,35,3,7.0,72.1,8.1,9.38,6.9,186.14
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2019,49,60,3,16.3,78.2,5.5,9.57,6.9,115.77
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2020,57,65,4,14.2,76.4,9.5,9.46,6.9,107.98
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2021,62,70,5,12.4,74.6,5.8,10.74,6.9,119.11
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2022,75,75,5,15.0,81.0,6.6,11.17,6.9,146.5
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2023,80,80,4,20.0,86.3,7.7,11.35,6.9,164.92
INST_003,MIT World Peace University,Pune,MBA / Management Studies,2024,75,75,5,15.0,86.8,6.3,12.84,6.9,170.26
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2019,109,110,10,10.9,99.5,4.6,13.79,7.8,236.27
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2020,140,140,11,12.7,99.5,5.9,16.2,7.8,254.74
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2021,150,150,13,11.5,99.5,4.1,15.26,7.8,264.24
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2022,160,160,12,13.3,99.5,4.6,17.44,7.8,281.9
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2023,160,160,12,13.3,99.5,3.5,16.32,7.8,291.68
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Computer Engineering,2024,160,160,12,13.3,99.5,2.9,17.21,7.8,315.06
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2019,125,130,8,15.6,95.5,5.5,9.55,7.9,221.69
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2020,116,120,9,12.9,88.5,8.2,10.6,7.9,240.72
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2021,120,120,8,15.0,94.6,5.6,10.98,7.9,234.46
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2022,120,120,9,13.3,96.6,5.5,11.67,7.9,275.48
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2023,120,120,12,10.0,99.5,4.6,12.25,7.9,269.73
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Electronics & Telecommunication,2024,130,130,11,11.8,99.5,4.0,12.82,7.9,286.9
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2019,118,120,7,16.9,79.4,8.3,9.41,8.2,239.6
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2020,104,115,8,13.0,76.3,11.4,8.6,8.2,247.41
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2021,102,110,8,12.8,80.2,6.9,9.02,8.2,260.35
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2022,85,105,8,10.6,85.2,6.5,10.58,8.2,260.39
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2023,73,90,7,10.4,88.3,8.1,10.34,8.2,290.19
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Mechanical Engineering,2024,74,95,6,12.3,90.5,8.5,11.18,8.2,299.61
INST_004,Veermata Jijabai Technological Institute (VJTI),Mumbai,Civil Engineering,2019,59,60,6,9.8,73.5,8.2,6.75,7.9,263.98
